iter	MultiClass
0	2.918813155
1	2.897827169
2	2.874092154
3	2.853286925
4	2.833198254
5	2.811112651
6	2.79009496
7	2.767408981
8	2.74833035
9	2.727812391
10	2.708473831
11	2.689672532
12	2.669970414
13	2.650719523
14	2.631165932
15	2.612102087
16	2.593990795
17	2.575949519
18	2.553827519
19	2.533925941
20	2.512115729
21	2.492143494
22	2.472691145
23	2.451052402
24	2.431278539
25	2.412250897
26	2.393137372
27	2.375218694
28	2.355767652
29	2.338314248
30	2.321733105
31	2.301590506
32	2.281871885
33	2.263016287
34	2.244168226
35	2.225676234
36	2.2051943
37	2.188008024
38	2.166959796
39	2.147958811
40	2.13070319
41	2.113539307
42	2.09566858
43	2.079587925
44	2.060415761
45	2.043799498
46	2.027390567
47	2.012076725
48	1.99380669
49	1.97648936
50	1.959124503
51	1.941733244
52	1.925630593
53	1.909489098
54	1.893131086
55	1.878223197
56	1.862665298
57	1.847245154
58	1.830113263
59	1.813447677
60	1.798581344
61	1.783944325
62	1.768696347
63	1.753854029
64	1.737442516
65	1.722794091
66	1.708902382
67	1.694762436
68	1.68057921
69	1.665246089
70	1.651324243
71	1.63611523
72	1.620192928
73	1.604457521
74	1.590436773
75	1.574663587
76	1.561217952
77	1.5461024
78	1.532150266
79	1.51832365
80	1.505644366
81	1.491747354
82	1.477971654
83	1.464396953
84	1.45060538
85	1.43727292
86	1.42375659
87	1.411444235
88	1.397039317
89	1.385439791
90	1.371666534
91	1.358335265
92	1.345691266
93	1.333016252
94	1.319039537
95	1.306440328
96	1.293319506
97	1.281062034
98	1.269197544
99	1.256420207
100	1.245294836
101	1.234022013
102	1.222989106
103	1.211228861
104	1.200991545
105	1.189628273
106	1.178481058
107	1.166085824
108	1.154651818
109	1.142737288
110	1.131977352
111	1.121891853
112	1.111622368
113	1.101031148
114	1.090194474
115	1.080488809
116	1.070066904
117	1.06080069
118	1.050810785
119	1.040933213
120	1.029365409
121	1.01944699
122	1.010207948
123	1.000930628
124	0.9917918696
125	0.9824314486
126	0.9736459897
127	0.9638385041
128	0.9543029278
129	0.9445526357
130	0.9354878829
131	0.926961123
132	0.9186548685
133	0.9100340129
134	0.9020965529
135	0.8938637525
136	0.885968228
137	0.8783577687
138	0.8705655817
139	0.8634608974
140	0.8561161093
141	0.8475694404
142	0.8395038047
143	0.8323007206
144	0.8246643772
145	0.8178323166
146	0.8100050801
147	0.8028204925
148	0.795014502
149	0.7878694685
150	0.7810799976
151	0.7739551624
152	0.7668999961
153	0.7599099133
154	0.7529131977
155	0.7459938714
156	0.7392064266
157	0.73319856
158	0.7268757821
159	0.7202716895
160	0.7144881652
161	0.7083850844
162	0.7027228693
163	0.6974311207
164	0.6914392462
165	0.6855261404
166	0.6798662753
167	0.6747582053
168	0.6693020266
169	0.6638170788
170	0.6585947316
171	0.6532070815
172	0.6478795619
173	0.6424464561
174	0.6369215221
175	0.6315339428
176	0.6271761823
177	0.6223061706
178	0.6174958405
179	0.612345003
180	0.6069287718
181	0.6018921312
182	0.5973109295
183	0.5929040168
184	0.5893438893
185	0.5852360554
186	0.5810246687
187	0.5764711389
188	0.5726029651
189	0.5683263695
190	0.5638997582
191	0.5595917436
192	0.55635552
193	0.5517598609
194	0.5479838847
195	0.543729203
196	0.5399770829
197	0.5359908168
198	0.5324761507
199	0.5285304967
200	0.5247631964
201	0.5209450088
202	0.5168337034
203	0.513250115
204	0.5094021249
205	0.5054907769
206	0.5017085908
207	0.4982480703
208	0.4946610704
209	0.491145308
210	0.4877843994
211	0.4842063012
212	0.4805975439
213	0.477171424
214	0.4738396939
215	0.4704420762
216	0.4671954127
217	0.4635093087
218	0.4604530889
219	0.4572774445
220	0.454393324
221	0.4511519918
222	0.447868229
223	0.4447240716
224	0.4414693666
225	0.4383473152
226	0.4355452375
227	0.4322158999
228	0.4295568415
229	0.4267602376
230	0.4237092177
231	0.4211597305
232	0.4183227893
233	0.4159562692
234	0.4129200766
235	0.4102580273
236	0.4074966448
237	0.4047497471
238	0.4023451504
239	0.4000726127
240	0.397194732
241	0.394653556
242	0.392122259
243	0.3897029733
244	0.38727163
245	0.384903673
246	0.3824458351
247	0.3799570406
248	0.3775985995
249	0.3754348197
250	0.3733575767
251	0.3710248534
252	0.3685551316
253	0.3662963413
254	0.3637785103
255	0.3614842684
256	0.359487364
257	0.3574477998
258	0.355429705
259	0.353256557
260	0.3511779385
261	0.3491984926
262	0.3472634462
263	0.3453604625
264	0.3434429561
265	0.3414294891
266	0.3397011134
267	0.3377499789
268	0.3357528867
269	0.3339612898
270	0.3319007648
271	0.3298916382
272	0.3281674592
273	0.3261534371
274	0.3242427068
275	0.3224920109
276	0.3207532115
277	0.3189486403
278	0.3174139131
279	0.3155625151
280	0.3137924073
281	0.3120739439
282	0.3104652835
283	0.3085882028
284	0.3068618177
285	0.305228978
286	0.3036113776
287	0.3018833714
288	0.3003401471
289	0.2985117759
290	0.2968495223
291	0.2955494479
292	0.2940550461
293	0.2925487319
294	0.291028206
295	0.2895619187
296	0.2882326151
297	0.2867321982
298	0.2853589198
299	0.283975386
300	0.2826154689
301	0.2812344449
302	0.2796515572
303	0.2780672558
304	0.2765638133
305	0.2751789549
306	0.2736989402
307	0.2721712449
308	0.2709083928
309	0.2695896978
310	0.268166798
311	0.2669314808
312	0.2656795289
313	0.2643534217
314	0.2630724208
315	0.2616922782
316	0.2604961177
317	0.2593315163
318	0.2580779454
319	0.2568338758
320	0.2555964636
321	0.2545053082
322	0.25330119
323	0.2520382004
324	0.2509174043
325	0.2496262628
326	0.248482542
327	0.247281112
328	0.2461061187
329	0.2449952582
330	0.2438626005
331	0.242717451
332	0.2416181632
333	0.2405713414
334	0.2394137319
335	0.2383191094
336	0.2371549736
337	0.2360782931
338	0.2349864169
339	0.2340075462
340	0.2329616526
341	0.2323523139
342	0.2312318931
343	0.2302379504
344	0.2292156101
345	0.2281775484
346	0.2271457186
347	0.2260209994
348	0.22499027
349	0.2241099636
350	0.2233239422
351	0.2222557359
352	0.2213689641
353	0.2204192868
354	0.219403843
355	0.2184639601
356	0.2175330939
357	0.2166499835
358	0.2157189172
359	0.21484079
360	0.2140008195
361	0.2131392932
362	0.212236834
363	0.2113502334
364	0.2103999945
365	0.2095469978
366	0.2086744849
367	0.2077928894
368	0.2069114607
369	0.206109875
370	0.2052911476
371	0.2045314387
372	0.2037076169
373	0.2028613371
374	0.2020103745
375	0.2016311141
376	0.2008578271
377	0.1999781413
378	0.1991712399
379	0.1983720253
380	0.1975965838
381	0.1968110602
382	0.1961109904
383	0.1953340735
384	0.194554487
385	0.1936992787
386	0.1929598642
387	0.1921470898
388	0.1913339729
389	0.1905031231
390	0.1897404387
391	0.1889900779
392	0.1883214824
393	0.187568255
394	0.1868731635
395	0.186149933
396	0.1855098847
397	0.1848107732
398	0.1841183724
399	0.1834315004
400	0.1827367887
401	0.1820159586
402	0.1813282819
403	0.1806297837
404	0.1798902667
405	0.1792021864
406	0.1785277893
407	0.1778906463
408	0.1772798316
409	0.176775613
410	0.1761612759
411	0.1754360695
412	0.1747613115
413	0.1740664543
414	0.1734451018
415	0.1728138878
416	0.1721846554
417	0.1715249569
418	0.1709181933
419	0.1703191778
420	0.1696966061
421	0.1691268815
422	0.1685677055
423	0.1680167524
424	0.1673543682
425	0.1669067832
426	0.1662536632
427	0.1656334041
428	0.1650298699
429	0.1644466222
430	0.163924217
431	0.1633605921
432	0.1627916826
433	0.1622666756
434	0.1617556468
435	0.1611508632
436	0.1605608874
437	0.1599445828
438	0.1594042801
439	0.1588550891
440	0.1583760437
441	0.157875639
442	0.1574172106
443	0.156815717
444	0.1562469105
445	0.1557061056
446	0.1552296101
447	0.1547560942
448	0.1542412261
449	0.1537667732
450	0.1533023244
451	0.1527880693
452	0.1522955087
453	0.151817531
454	0.1512994561
455	0.150838199
456	0.1503551681
457	0.1498910756
458	0.1493996699
459	0.1489405911
460	0.1485157922
461	0.1480679656
462	0.1476041519
463	0.1471373558
464	0.1466412429
465	0.1461432983
466	0.1456753381
467	0.1452014958
468	0.1447629067
469	0.1443228966
470	0.1438869174
471	0.1433938748
472	0.1429498079
473	0.1424696918
474	0.1420389622
475	0.1416238146
476	0.1412182345
477	0.1407931688
478	0.1403660999
479	0.1399569692
480	0.1395659232
481	0.1391586975
482	0.1387396088
483	0.1383202952
484	0.1379094194
485	0.1374947444
486	0.1370909775
487	0.1366807629
488	0.1362762277
489	0.1359152549
490	0.1355073674
491	0.1350602909
492	0.1346681193
493	0.1342896579
494	0.1339104574
495	0.133496163
496	0.1331033983
497	0.132758883
498	0.1323308306
499	0.131919173
500	0.1315130533
501	0.1311373668
502	0.1307947001
503	0.1304571722
504	0.1300909268
505	0.1297193241
506	0.1293862255
507	0.1290335675
508	0.1286322499
509	0.1282824612
510	0.1279240975
511	0.1276169171
512	0.1272703744
513	0.1269217679
514	0.1265450021
515	0.1261918115
516	0.1258543371
517	0.1255429663
518	0.1251781315
519	0.1248672915
520	0.1245332779
521	0.1241931968
522	0.1238593606
523	0.1235288628
524	0.1231644033
525	0.1228331928
526	0.1226536181
527	0.1223391808
528	0.1220434292
529	0.1217306048
530	0.1214171436
531	0.1211173272
532	0.1208056115
533	0.1205051385
534	0.1201753979
535	0.1198360242
536	0.1195212764
537	0.1191872186
538	0.1188711312
539	0.1186062322
540	0.1183067431
541	0.118032509
542	0.1177534354
543	0.1174291161
544	0.1170925765
545	0.1167855621
546	0.1164772459
547	0.1161597769
548	0.1158573069
549	0.1155652943
550	0.1152685487
551	0.1149780655
552	0.1146908029
553	0.1144030509
554	0.1141116136
555	0.1138129842
556	0.1135184307
557	0.1132407515
558	0.1129527557
559	0.1126724455
560	0.1123980611
561	0.112114943
562	0.1118545076
563	0.1115764322
564	0.1114096375
565	0.1111436364
566	0.1108617346
567	0.1106207559
568	0.1103619512
569	0.1100589968
570	0.1097738268
571	0.1095013172
572	0.1092234658
573	0.1089491447
574	0.1086929184
575	0.1084457777
576	0.1081887027
577	0.1079418562
578	0.1076605231
579	0.1074132477
580	0.1071489969
581	0.1068786296
582	0.1066221522
583	0.1063422393
584	0.1060896379
585	0.1058533528
586	0.1056052537
587	0.1053468622
588	0.1050960256
589	0.1048319063
590	0.1045354671
591	0.1043156904
592	0.1040854399
593	0.1038964405
594	0.1036529052
595	0.1034060408
596	0.103155988
597	0.1029200234
598	0.1026929836
599	0.1024694531
600	0.1022138865
601	0.1019829742
602	0.1017523725
603	0.101537739
604	0.1013325165
605	0.1010985893
606	0.1008444534
607	0.1006144297
608	0.1004031764
609	0.100184477
610	0.09996016614
611	0.09974530287
612	0.09951524228
613	0.09928458602
614	0.09903396644
615	0.09880416807
616	0.09856982759
617	0.0983552032
618	0.09811304809
619	0.09789697929
620	0.09766400291
621	0.09744587452
622	0.09725026668
623	0.0970216299
624	0.09682021265
625	0.09660770678
626	0.09638176951
627	0.09614116606
628	0.09593228651
629	0.09571949032
630	0.09552376192
631	0.0953189298
632	0.09511852391
633	0.09487490434
634	0.09468496653
635	0.09446411408
636	0.09427370807
637	0.09404628449
638	0.09387993009
639	0.09369611857
640	0.09350792374
641	0.09331914139
642	0.09311293546
643	0.09290675427
644	0.09270944899
645	0.09251983621
646	0.09232602719
647	0.09211473659
648	0.09193443634
