iter	Passed	Remaining
0	150	149870
1	154	76908
2	158	52566
3	163	40659
4	167	33373
5	172	28526
6	176	25065
7	180	22389
8	184	20303
9	188	18687
10	194	17491
11	199	16419
12	203	15441
13	207	14635
14	211	13894
15	215	13248
16	219	12694
17	224	12241
18	230	11886
19	233	11465
20	238	11096
21	243	10815
22	246	10482
23	250	10204
24	255	9955
25	258	9687
26	262	9457
27	266	9254
28	269	9034
29	273	8831
30	276	8635
31	279	8453
32	282	8279
33	285	8100
34	287	7928
35	289	7758
36	291	7596
37	293	7436
38	295	7285
39	298	7166
40	301	7053
41	303	6924
42	305	6804
43	307	6686
44	309	6574
45	312	6487
46	315	6398
47	318	6314
48	320	6220
49	322	6128
50	324	6038
51	327	5970
52	330	5901
53	332	5820
54	334	5741
55	336	5664
56	338	5595
57	340	5529
58	342	5467
59	344	5401
60	346	5339
61	348	5278
62	351	5222
63	353	5163
64	354	5105
65	356	5051
66	359	5003
67	361	4954
68	363	4901
69	365	4852
70	367	4802
71	369	4756
72	370	4710
73	373	4670
74	375	4626
75	377	4583
76	379	4548
77	381	4509
78	383	4469
79	385	4430
80	387	4391
81	389	4361
82	391	4327
83	393	4293
84	395	4261
85	398	4230
86	400	4199
87	402	4168
88	404	4141
89	407	4116
90	409	4086
91	411	4061
92	413	4033
93	415	4004
94	417	3976
95	419	3947
96	421	3921
97	423	3896
98	425	3874
99	427	3850
100	430	3829
101	432	3808
102	434	3784
103	436	3761
104	438	3739
105	440	3716
106	442	3693
107	444	3672
108	446	3651
109	448	3629
110	450	3608
111	452	3589
112	454	3571
113	456	3551
114	459	3532
115	461	3513
116	462	3493
117	464	3474
118	466	3456
119	469	3439
120	471	3423
121	473	3406
122	475	3391
123	477	3375
124	479	3358
125	481	3342
126	484	3327
127	486	3311
128	488	3297
129	490	3281
130	492	3267
131	494	3251
132	496	3235
133	498	3221
134	500	3208
135	503	3195
136	504	3181
137	507	3168
138	509	3153
139	510	3138
140	513	3126
141	515	3112
142	517	3098
143	519	3085
144	521	3073
145	523	3063
146	525	3049
147	527	3036
148	529	3023
149	531	3012
150	533	3000
151	536	2990
152	538	2979
153	540	2967
154	542	2956
155	544	2946
156	546	2935
157	549	2927
158	551	2918
159	554	2908
160	556	2898
161	558	2887
162	560	2877
163	562	2868
164	565	2862
165	567	2853
166	569	2842
167	571	2832
168	574	2822
169	576	2812
170	578	2803
171	580	2795
172	583	2787
173	585	2777
174	587	2768
175	589	2758
176	591	2748
177	592	2738
178	595	2729
179	597	2719
180	599	2711
181	601	2701
182	603	2692
183	604	2682
184	606	2672
185	608	2663
186	611	2656
187	613	2648
188	615	2640
189	617	2631
190	619	2623
191	621	2615
192	623	2607
193	625	2600
194	627	2592
195	630	2585
196	632	2577
197	634	2569
198	636	2560
199	638	2552
200	640	2544
201	642	2537
202	644	2529
203	646	2523
204	648	2515
205	650	2508
206	652	2501
207	654	2493
208	656	2486
209	659	2479
210	661	2472
211	663	2465
212	665	2458
213	667	2450
214	669	2443
215	671	2435
216	673	2429
217	675	2424
218	678	2419
219	680	2413
220	682	2406
221	685	2401
222	687	2395
223	690	2390
224	692	2385
225	694	2379
226	696	2372
227	698	2366
228	700	2359
229	703	2354
230	705	2347
231	706	2339
232	708	2331
233	709	2322
234	710	2314
235	712	2306
236	713	2297
237	715	2289
238	716	2280
239	717	2272
240	719	2265
241	720	2257
242	722	2250
243	723	2242
244	725	2234
245	726	2226
246	727	2217
247	728	2209
248	729	2201
249	731	2193
250	732	2186
251	733	2178
252	735	2170
253	736	2163
254	737	2155
255	739	2148
256	740	2140
257	741	2132
258	742	2125
259	743	2117
260	745	2110
261	746	2103
262	747	2095
263	749	2088
264	751	2083
265	752	2077
266	754	2071
267	755	2063
268	756	2056
269	758	2049
270	759	2042
271	760	2035
272	761	2028
273	763	2021
274	764	2014
275	765	2009
276	767	2003
277	769	1997
278	770	1991
279	771	1984
280	773	1978
281	774	1971
282	775	1964
283	776	1958
284	777	1951
285	779	1944
286	780	1938
287	781	1932
288	783	1926
289	784	1920
290	785	1914
291	786	1908
292	788	1901
293	789	1895
294	790	1889
295	791	1883
296	792	1876
297	794	1870
298	795	1864
299	796	1859
300	798	1853
301	799	1847
302	800	1841
303	801	1835
304	802	1829
305	804	1823
306	805	1817
307	806	1811
308	807	1806
309	808	1800
310	810	1794
311	811	1789
312	812	1784
313	814	1779
314	816	1774
315	817	1769
316	818	1763
317	819	1757
318	820	1752
319	821	1746
320	823	1741
321	824	1735
322	825	1730
323	826	1724
324	828	1719
325	829	1715
326	831	1710
327	832	1705
328	833	1699
329	834	1694
330	835	1689
331	837	1684
332	838	1679
333	839	1673
334	840	1668
335	841	1663
336	843	1658
337	844	1654
338	846	1649
339	847	1644
340	848	1639
341	849	1634
342	850	1629
343	852	1624
344	853	1619
345	854	1615
346	855	1610
347	856	1605
348	857	1600
349	859	1595
350	860	1591
351	861	1586
352	863	1582
353	864	1577
354	865	1572
355	866	1568
356	868	1563
357	869	1558
358	870	1554
359	871	1549
360	872	1544
361	873	1540
362	875	1536
363	876	1532
364	878	1527
365	879	1523
366	880	1519
367	882	1515
368	883	1510
369	884	1506
370	886	1502
371	887	1498
372	888	1493
373	889	1489
374	891	1485
375	892	1481
376	893	1477
377	895	1472
378	896	1468
379	897	1464
380	898	1460
381	899	1455
382	901	1451
383	902	1447
384	903	1443
385	904	1439
386	905	1434
387	907	1431
388	908	1427
389	910	1423
390	911	1419
391	912	1415
392	913	1411
393	915	1407
394	916	1403
395	917	1399
396	918	1395
397	919	1391
398	921	1387
399	922	1383
400	923	1379
401	925	1376
402	926	1372
403	927	1368
404	928	1364
405	929	1360
406	931	1356
407	932	1352
408	933	1348
409	934	1344
410	935	1340
411	936	1337
412	938	1333
413	939	1329
414	940	1326
415	942	1322
416	943	1318
417	944	1315
418	945	1311
419	946	1307
420	948	1303
421	949	1300
422	950	1296
423	951	1292
424	952	1289
425	954	1286
426	956	1283
427	957	1279
428	958	1276
429	960	1272
430	961	1269
431	962	1265
432	963	1261
433	964	1258
434	966	1254
435	967	1251
436	968	1247
437	969	1244
438	971	1241
439	972	1238
440	974	1234
441	975	1231
442	976	1228
443	978	1224
444	979	1221
445	980	1218
446	981	1214
447	983	1211
448	984	1207
449	985	1204
450	986	1201
451	988	1198
452	989	1195
453	991	1191
454	992	1188
455	993	1185
456	994	1181
457	995	1178
458	997	1175
459	998	1171
460	999	1168
461	1000	1165
462	1002	1162
463	1003	1159
464	1004	1156
465	1005	1152
466	1007	1149
467	1008	1146
468	1009	1143
469	1010	1139
470	1012	1136
471	1013	1133
472	1014	1130
473	1015	1127
474	1016	1123
475	1018	1121
476	1019	1118
477	1021	1115
478	1022	1112
479	1023	1109
480	1025	1106
481	1026	1102
482	1027	1099
483	1028	1096
484	1029	1093
485	1031	1090
486	1032	1087
487	1033	1084
488	1035	1081
489	1036	1078
490	1037	1075
491	1039	1072
492	1040	1070
493	1041	1067
494	1043	1064
495	1044	1061
496	1046	1058
497	1047	1055
498	1048	1053
499	1050	1050
500	1051	1047
501	1053	1044
502	1054	1041
503	1055	1039
504	1057	1036
505	1058	1033
506	1059	1030
507	1061	1027
508	1062	1025
509	1063	1022
510	1065	1019
511	1066	1016
512	1068	1014
513	1069	1011
514	1070	1008
515	1072	1005
516	1073	1003
517	1075	1000
518	1076	997
519	1077	994
520	1079	992
521	1080	989
522	1082	987
523	1084	984
524	1085	981
525	1086	979
526	1087	976
527	1089	974
528	1091	971
529	1092	968
530	1093	965
531	1094	963
532	1096	960
533	1098	958
534	1099	955
535	1100	952
536	1101	950
537	1103	947
538	1104	944
539	1105	941
540	1106	939
541	1107	936
542	1109	933
543	1110	930
544	1111	928
545	1113	925
546	1114	923
547	1116	920
548	1118	918
549	1119	916
550	1121	913
551	1122	911
552	1123	908
553	1125	905
554	1126	903
555	1127	900
556	1129	898
557	1130	895
558	1132	893
559	1133	890
560	1135	888
561	1136	885
562	1138	883
563	1139	880
564	1140	878
565	1141	875
566	1143	873
567	1144	870
568	1146	868
569	1147	865
570	1150	864
571	1151	861
572	1153	859
573	1154	856
574	1155	854
575	1156	851
576	1158	848
577	1159	846
578	1161	844
579	1162	841
580	1164	839
581	1166	837
582	1167	835
583	1169	832
584	1170	830
585	1171	827
586	1172	825
587	1174	822
588	1176	820
589	1177	818
590	1179	815
591	1180	813
592	1182	811
593	1183	808
594	1184	806
595	1185	803
596	1187	801
597	1188	798
598	1190	796
599	1191	794
600	1192	792
601	1194	789
602	1196	787
603	1197	785
604	1199	782
605	1200	780
606	1201	777
607	1202	775
608	1204	773
609	1205	770
610	1207	768
611	1208	766
612	1210	763
613	1211	761
614	1212	759
615	1213	756
616	1215	754
617	1216	751
618	1217	749
619	1218	747
620	1220	744
621	1221	742
622	1223	740
623	1224	737
624	1226	735
625	1227	733
626	1228	731
627	1230	728
628	1231	726
629	1232	723
630	1233	721
631	1235	719
632	1236	717
633	1238	714
634	1239	712
635	1240	710
636	1242	708
637	1244	705
638	1245	703
639	1246	701
640	1247	698
641	1248	696
642	1250	694
643	1251	692
644	1253	689
645	1254	687
646	1256	685
647	1258	683
648	1259	681
649	1260	678
650	1261	676
651	1263	674
652	1264	671
653	1265	669
654	1267	667
655	1268	665
656	1269	663
657	1271	660
658	1272	658
659	1274	656
660	1275	654
661	1276	651
662	1277	649
663	1279	647
664	1280	644
665	1281	642
666	1282	640
667	1284	638
668	1285	635
669	1286	633
670	1288	631
671	1289	629
672	1291	627
673	1292	625
674	1293	622
675	1294	620
676	1296	618
677	1297	616
678	1298	614
679	1300	611
680	1301	609
681	1303	607
682	1305	605
683	1306	603
684	1307	601
685	1308	599
686	1310	596
687	1311	594
688	1312	592
689	1313	590
690	1315	588
691	1316	586
692	1318	584
693	1319	581
694	1320	579
695	1322	577
696	1323	575
697	1324	573
698	1325	570
699	1327	568
700	1328	566
701	1329	564
702	1331	562
703	1332	560
704	1333	558
705	1335	555
706	1336	553
707	1337	551
708	1338	549
709	1339	547
710	1341	545
711	1342	542
712	1343	540
713	1344	538
714	1346	536
715	1348	534
716	1349	532
717	1351	530
718	1352	528
719	1353	526
720	1354	524
721	1355	522
722	1357	519
723	1358	517
724	1359	515
725	1360	513
726	1362	511
727	1364	509
728	1365	507
729	1367	505
730	1368	503
731	1369	501
732	1370	499
733	1372	497
734	1373	495
735	1374	493
736	1375	490
737	1377	488
738	1378	486
739	1380	484
740	1381	482
741	1382	480
742	1383	478
743	1384	476
744	1386	474
745	1387	472
746	1388	470
747	1389	468
748	1391	466
749	1392	464
750	1393	462
751	1395	460
752	1396	458
753	1398	456
754	1399	454
755	1400	452
756	1401	449
757	1403	447
758	1404	445
759	1405	443
760	1406	441
761	1408	439
762	1409	437
763	1410	435
764	1411	433
765	1413	431
766	1414	429
767	1415	427
768	1416	425
769	1417	423
770	1419	421
771	1420	419
772	1421	417
773	1422	415
774	1424	413
775	1425	411
776	1427	409
777	1428	407
778	1429	405
779	1431	403
780	1432	401
781	1434	399
782	1435	397
783	1436	395
784	1437	393
785	1438	391
786	1440	389
787	1441	387
788	1443	385
789	1444	383
790	1445	381
791	1446	379
792	1448	378
793	1449	376
794	1450	374
795	1451	372
796	1452	370
797	1454	368
798	1455	366
799	1456	364
800	1458	362
801	1459	360
802	1461	358
803	1462	356
804	1463	354
805	1464	352
806	1465	350
807	1467	348
808	1468	346
809	1469	344
810	1470	342
811	1472	340
812	1473	338
813	1475	337
814	1476	335
815	1477	333
816	1478	331
817	1479	329
818	1481	327
819	1482	325
820	1483	323
821	1484	321
822	1485	319
823	1487	317
824	1489	315
825	1490	314
826	1492	312
827	1494	310
828	1495	308
829	1496	306
830	1498	304
831	1499	302
832	1500	300
833	1501	298
834	1503	297
835	1504	295
836	1506	293
837	1507	291
838	1508	289
839	1509	287
840	1511	285
841	1512	283
842	1513	281
843	1514	280
844	1516	278
845	1517	276
846	1518	274
847	1520	272
848	1521	270
849	1522	268
850	1524	266
851	1525	264
852	1526	263
853	1527	261
854	1529	259
855	1530	257
856	1531	255
857	1532	253
858	1534	251
859	1535	250
860	1537	248
861	1538	246
862	1540	244
863	1541	242
864	1543	240
865	1544	238
866	1545	237
867	1547	235
868	1548	233
869	1550	231
870	1552	229
871	1553	228
872	1555	226
873	1556	224
874	1558	222
875	1559	220
876	1560	218
877	1561	217
878	1563	215
879	1564	213
880	1565	211
881	1567	209
882	1569	207
883	1570	206
884	1571	204
885	1573	202
886	1574	200
887	1576	198
888	1578	197
889	1580	195
890	1581	193
891	1583	191
892	1584	189
893	1586	188
894	1587	186
895	1589	184
896	1590	182
897	1592	180
898	1593	179
899	1594	177
900	1595	175
901	1597	173
902	1599	171
903	1600	169
904	1602	168
905	1603	166
906	1605	164
907	1606	162
908	1607	160
909	1609	159
910	1610	157
911	1611	155
912	1613	153
913	1614	151
914	1616	150
915	1617	148
916	1619	146
917	1621	144
918	1622	143
919	1623	141
920	1625	139
921	1626	137
922	1627	135
923	1629	134
924	1630	132
925	1632	130
926	1633	128
927	1635	126
928	1636	125
929	1638	123
930	1639	121
931	1640	119
932	1641	117
933	1643	116
934	1644	114
935	1646	112
936	1647	110
937	1649	109
938	1651	107
939	1652	105
940	1653	103
941	1654	101
942	1656	100
943	1657	98
944	1658	96
945	1660	94
946	1661	93
947	1663	91
948	1664	89
949	1666	87
950	1667	85
951	1668	84
952	1669	82
953	1671	80
954	1672	78
955	1673	77
956	1674	75
957	1676	73
958	1678	71
959	1679	69
960	1681	68
961	1682	66
962	1683	64
963	1684	62
964	1686	61
965	1687	59
966	1688	57
967	1689	55
968	1691	54
969	1692	52
970	1694	50
971	1695	48
972	1697	47
973	1698	45
974	1700	43
975	1701	41
976	1702	40
977	1703	38
978	1704	36
979	1706	34
980	1707	33
981	1709	31
982	1710	29
983	1712	27
984	1713	26
985	1715	24
986	1716	22
987	1717	20
988	1718	19
989	1720	17
990	1721	15
991	1722	13
992	1724	12
993	1725	10
994	1727	8
995	1729	6
996	1730	5
997	1731	3
998	1732	1
999	1734	0
